Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
71,0|1|2|3|4|5|6|7|,0|1793|367|181|95|62|43|22|,nan|153.7446396674865|188.00196903803393|215.72836108741126|228.56238452538307|229.36570446864854|235.05511972821998|231.37268952760215|,nan|18.537769468438764|26.008859765397773|20.112698245478807|12.315905932986087|13.785375169895485|10.023871183561921|14.920951136448481|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|105|1434|221|443|248|84|28|,nan|120.03386460086674|148.90544126422142|169.81229759729877|199.5570086857821|224.23519179293345|239.55177271081115|251.44488561881536|,nan|5.246425490440436|8.0686243776851|6.958516619409017|7.787994477189299|6.105673696901952|2.969361971201969|5.286176195748029|,0|193|6061|4479|403|329|129|79|,0|189|5627|3240|54|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|21|,0|0|0|0|0|8|11|2|,0|102|4887|5509|566|355|134|99|,0|0|0|0|0|0|0|0|,0|0|3452|5330|139|116|52|77|,0|102|1435|179|427|239|82|22|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
72,0|1|2|3|4|5|6|7|,0|1743|329|192|104|58|34|26|,nan|153.22886544163427|190.25718132895665|214.48490789157253|224.78786227051293|233.38862064677457|229.82568881459602|234.88849793353845|,nan|17.990844547308875|28.924053571167153|16.88290887220116|14.65319044200743|10.563716230537656|11.48816418296543|12.832065947632913|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|102|1435|179|427|239|82|22|,nan|119.80721559929202|149.03684064857435|170.9034568346499|201.67486633806706|224.67629546062588|239.92088980246328|251.04740346868985|,nan|4.647119134304331|7.852504815886845|6.95815503178811|8.16226598886124|5.854909277361266|2.8175290904001202|5.312526819617682|,0|183|5999|4505|351|355|116|87|,0|180|5610|3255|65|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|28|,0|0|0|0|0|15|9|4|,0|94|4943|5463|472|382|113|101|,0|0|0|0|0|0|0|0|,0|0|3491|5178|102|130|31|78|,0|94|1452|285|370|252|82|23|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
73,0|1|2|3|4|5|6|7|,0|1803|348|166|120|66|32|23|,nan|153.42134002691793|187.07718318050297|216.56696562051795|223.97651885947337|229.99241349359914|234.30540593484218|231.7921650072295|,nan|17.450015384580553|27.2561469850848|20.748042222056966|15.102032801592975|13.11942893654339|10.368741506069524|11.53495453473031|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|94|1452|285|370|252|82|23|,nan|120.27549314112689|148.94605830743217|170.1242426140674|201.10969782803315|224.57621809556028|240.3296308933399|251.54432151198236|,nan|4.252170830387213|8.161708848253063|7.195330029244213|7.867675624305739|5.642919867551182|2.920101432374945|4.566469059638951|,0|202|6142|4459|340|316|128|81|,0|195|5688|3159|68|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|29|,0|0|0|0|0|12|11|6|,0|123|5116|5343|491|350|130|86|,0|0|0|0|0|0|0|0|,0|0|3796|5013|111|121|45|64|,0|123|1320|330|380|229|85|22|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
74,0|1|2|3|4|5|6|7|,0|1744|337|175|96|79|42|16|,nan|153.64755500171714|184.83448129507974|214.23214920032768|226.1626715119306|227.86889794791048|231.53599847093565|233.8324410582726|,nan|18.907762817039178|26.922719518390096|21.355872457306454|16.11885600812475|12.681202679790044|11.852262177767116|9.375733591251361|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|123|1320|330|380|229|85|22|,nan|119.94101515414276|148.59037530971406|170.45106152494864|200.99833247808598|224.7324554914367|240.234585640309|250.74289184466977|,nan|4.1566031588333745|7.986702944090694|7.593105820029775|8.254570492029806|5.66545751699325|2.8296685793307153|4.904001641346565|,0|221|6145|4343|391|304|113|82|,0|217|5699|3129|65|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|26|,0|0|0|0|1|9|11|5|,0|107|4787|5548|584|336|116|95|,0|0|0|0|0|0|0|0|,0|0|3284|5305|129|92|42|68|,0|107|1503|243|455|244|74|27|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
75,0|1|2|3|4|5|6|7|,0|1890|364|157|107|60|52|23|,nan|153.9995103599585|189.10334410120947|216.64303298000237|225.52934084214425|228.6273940169577|231.78030571416792|231.8711242371919|,nan|18.20316100489085|27.18442111058846|17.111147008431537|17.094074402593634|14.9087284874349|11.376927936336882|10.533457073856118|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|107|1503|243|455|244|74|27|,nan|119.22961390419357|149.31128460681677|169.80123750070885|200.49266504301062|225.29657738516966|239.56878415881266|251.17760029523052|,nan|5.638835912039406|8.028105864262205|7.10497169735555|7.998893698689709|6.031475155272309|3.2189435599909766|3.958414165387162|,0|186|6045|4599|399|328|128|78|,0|176|5644|3213|77|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|45|,0|0|0|0|3|17|16|9|,0|90|4911|5608|535|353|134|87|,0|0|0|0|0|0|0|0|,0|0|3456|5395|125|118|59|59|,0|90|1455|213|410|235|75|28|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
76,0|1|2|3|4|5|6|7|,0|1759|352|181|97|55|44|18|,nan|153.5910010392648|188.14291619259464|213.69882028453296|226.84190387631048|228.68356918732798|231.87188739038731|230.47833427765858|,nan|18.31139459611571|27.607977531101408|22.042834369704778|13.917597324757127|16.504450777745987|15.270540457935835|10.52954380119585|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|90|1455|213|410|235|75|28|,nan|118.57601581214084|148.88427099080832|171.89993950182938|201.07230257148206|223.9107330535909|239.59357872201116|252.2596531492809|,nan|5.678446609644751|8.066394995824114|7.293024519563021|8.03567973470574|5.943349837794603|2.6751163475805986|5.963068519677019|,0|219|6241|4266|363|340|114|73|,0|205|5806|3030|69|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|28|,0|0|0|0|2|15|4|7|,0|123|5100|5279|509|367|125|85|,0|0|0|0|0|0|0|0|,0|0|3756|5026|108|134|39|67|,0|123|1344|253|401|233|86|18|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
77,0|1|2|3|4|5|6|7|,0|1720|341|184|92|61|33|27|,nan|153.1941298945787|189.24635702812463|213.6508476622761|227.5818003350727|228.61184299107623|229.2950379006695|233.11217433130793|,nan|18.681514783541672|27.953714456708067|19.91948369489557|13.123214389690975|13.131839005549047|14.988570699268848|10.928420644445026|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|123|1344|253|401|233|86|18|,nan|119.6178887437702|148.83063558315484|170.45991721059866|201.49306403492767|224.3299859290163|239.7583591565442|251.54012586775045|,nan|4.40395614941254|8.010627565055424|7.781516183703451|8.188737234492805|5.6570950665359145|2.881368851811574|4.614172301687799|,0|198|6080|4417|342|329|125|77|,0|194|5651|3208|57|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|28|,0|0|0|0|0|11|10|7|,0|113|5178|5258|457|315|130|89|,0|0|0|0|0|0|0|0|,0|0|3929|5035|57|105|46|64|,0|113|1249|223|400|210|84|25|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
78,0|1|2|3|4|5|6|7|,0|1596|305|161|125|56|36|25|,nan|152.95412190841898|191.08517677814774|216.90486434917364|223.33889027444502|230.46042358675783|229.4483210806501|227.83048708200386|,nan|17.977945005455986|26.249587840390607|18.963628695505314|16.373557724766528|12.51101036320986|13.06919396427073|12.535815052272739|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|113|1249|223|400|210|84|25|,nan|120.35651083922819|148.96953247396476|171.3429766964158|201.5419666295468|224.9133323455734|239.3569291026707|250.76813229509295|,nan|4.364779673388414|8.117552716555318|6.908020303745152|8.321303669401097|5.794875064845467|2.6886938336236623|5.828348256462001|,0|189|6030|4339|355|312|107|82|,0|181|5643|3227|58|1|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|35|,0|0|0|0|2|14|15|4|,0|106|4832|5373|531|337|98|102|,0|0|0|0|0|0|0|0|,0|0|3326|5169|129|96|37|79|,0|106|1506|204|402|241|61|23|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
79,0|1|2|3|4|5|6|7|,0|1847|314|159|82|83|37|21|,nan|153.42323391967398|187.7896052216903|216.16870266508977|223.06107767561076|228.5972248683251|235.27565843645695|227.42517971124133|,nan|17.669246990622216|27.757805551371675|18.15360672889626|14.20484154685898|13.256989682414334|9.82280429140537|11.605579222630501|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|106|1506|204|402|241|61|23|,nan|120.25249169859633|149.32061665475115|169.77895778792063|200.51680100276002|224.76613016143452|240.1264127107827|250.9807062755928|,nan|4.265373693855503|7.950035183976234|7.349591534089137|7.907311727442728|5.919313565185102|3.017997798964608|4.381787716790605|,0|190|5918|4696|349|318|112|70|,0|184|5519|3343|64|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|25|,0|0|0|0|1|8|13|3|,0|114|4865|5596|503|361|111|78|,0|0|0|0|0|0|0|0|,0|0|3298|5378|100|115|38|52|,0|114|1567|218|403|246|73|26|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
80,0|1|2|3|4|5|6|7|,0|1916|337|161|90|60|58|25|,nan|152.8102941774462|187.34337499903754|216.18642429677305|225.84536046072685|228.42966136496352|232.07912150141146|233.85155135371718|,nan|18.18430164425217|28.487457845437874|18.24870314264679|13.438628171266362|12.512104691456198|12.466826469039221|13.784368258419986|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|114|1567|218|403|246|73|26|,nan|120.38119420306523|148.561086075072|169.9390318133863|201.29319233298125|224.81183028740065|239.9631717889303|252.17038573621554|,nan|3.504109333877379|8.208729731788399|6.7566180962450035|8.2637280772568|6.094769755957077|2.7098920555536417|3.8246814561743543|,0|183|6151|4550|344|333|122|74|,0|177|5660|3203|70|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|35|,0|0|0|0|1|13|11|10|,0|84|4944|5586|533|370|117|88|,0|0|0|0|0|0|0|0|,0|0|3493|5349|135|138|37|67|,0|84|1451|237|398|232|80|21|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
81,0|1|2|3|4|5|6|7|,0|1775|353|161|85|56|42|31|,nan|154.43732126601716|187.37429939521368|217.21993816607312|226.0460378865386|230.8047221370412|230.84225952502194|231.71267112782317|,nan|18.245043041914553|27.203991871435143|19.76593607636505|15.694235448898413|13.39932469128563|10.844992977118343|13.862904781107403|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|84|1451|237|398|232|80|21|,nan|119.68008981480129|149.44879059553526|170.80285103973472|201.4939443672874|224.56820998101202|240.1679486684806|255.60854672554456|,nan|4.841567366867762|7.908970427099472|7.450216561550435|8.051700240035647|5.52845368089858|2.9877158512736735|8.064770879598722|,0|197|6023|4510|348|348|114|73|,0|191|5643|3204|72|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|26|,0|0|0|0|2|14|8|2|,0|100|5036|5417|466|362|110|96|,0|0|0|0|0|0|0|0|,0|2|3638|5179|84|107|34|72|,0|98|1398|238|382|255|76|24|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
82,0|1|2|3|4|5|6|7|,0|1737|342|191|93|45|32|31|,nan|153.09618476776018|191.1226144326054|216.15886569267963|225.11415588520956|229.44141627173747|233.62579337381442|232.95346013923586|,nan|17.673599209624445|28.344961832761037|18.587299932308287|15.549001327213775|12.76633453981254|13.105710887995047|11.96369890851255|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|98|1398|238|382|255|76|24|,nan|120.10114101309429|148.82724828348384|169.8366190344665|200.73320078234346|224.78859213312904|239.4521841701765|253.55639029792005|,nan|4.068881874985814|8.166730034069822|7.068373500708865|8.179887351766393|5.461683357620422|2.8758442426839634|6.927049817384372|,0|228|6020|4470|337|315|133|78|,0|224|5612|3214|60|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|32|,0|0|0|0|0|15|9|8|,0|118|4891|5527|474|308|138|93|,0|0|0|0|0|0|0|0|,0|0|3502|5297|93|110|55|65|,0|118|1389|230|381|198|83|28|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
83,0|1|2|3|4|5|6|7|,0|1723|322|164|111|57|26|24|,nan|152.3535129438084|187.09516094651033|217.42700160510955|226.07493417344793|229.37074630472674|233.3088965223501|232.53784919485534|,nan|17.56056587793685|26.433031997071094|20.049548644100867|15.218616954080906|13.66599945489006|14.20628724576027|11.079953416851662|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|118|1389|230|381|198|83|28|,nan|120.11395588387131|148.8620376746773|170.62683457947867|200.84352109993927|224.96039577259262|239.60662839405333|253.04584559341274|,nan|4.8379845852374075|8.241537666375704|7.153843003295207|8.328715517575343|5.853308243955016|2.728668848450966|7.232342300577812|,0|233|6159|4313|369|271|110|82|,0|225|5730|3083|72|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|23|,0|0|0|0|1|8|8|6|,0|132|5076|5290|515|303|104|94|,0|0|0|0|0|0|0|0|,0|0|3718|4959|104|105|31|70|,0|132|1358|331|411|198|73|24|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
84,0|1|2|3|4|5|6|7|,0|1804|353|160|92|69|34|15|,nan|153.40773653328858|185.70971633036913|213.61306764639707|224.53793289394042|230.91370303622114|232.07600156310446|234.0701370587113|,nan|18.668505122122294|27.25433678129625|18.6664237948781|15.507853965477075|14.969523860846662|12.037973061498507|13.831755611369603|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|132|1358|331|411|198|73|24|,nan|119.94536325761382|148.56529044576774|169.98182550761692|200.93011817052783|224.60725871890205|240.1860500680619|251.53394879531538|,nan|4.6243852302707715|8.069535627949959|7.470532959694402|8.172085585766151|5.739392439890992|2.7948398838036916|5.528886109598597|,0|188|6049|4545|377|299|108|71|,0|184|5604|3263|59|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|20|,0|0|0|0|2|8|7|3|,0|97|4792|5645|547|338|97|101|,0|0|0|0|0|0|0|0|,0|0|3340|5433|144|109|26|71|,0|97|1452|212|403|229|71|30|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
85,0|1|2|3|4|5|6|7|,0|1745|356|170|101|58|41|23|,nan|153.37621887115145|186.42503816578142|213.65349664860156|223.8117225530857|228.89149052835134|233.09129428906675|236.5123424838235|,nan|17.7884180542577|27.955284812252703|20.441160530903225|15.764558791073073|14.590706090419518|15.69365614921615|13.811081683380658|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|97|1452|212|403|229|71|30|,nan|120.36373440861034|149.08030903217374|171.09082935432198|200.59681633035737|224.21848363773148|239.88653264382575|252.58289971905268|,nan|3.958452479847044|7.934930801115613|7.576924959269957|7.6483722712697935|5.5201600286874415|2.875435107484579|6.80848412832858|,0|192|6174|4372|361|313|116|76|,0|190|5741|3112|66|1|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|30|,0|0|0|0|2|13|5|10|,0|104|5018|5415|486|338|130|83|,0|0|0|0|0|0|0|0|,0|0|3573|5184|93|140|52|56|,0|104|1445|231|393|198|78|27|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
86,0|1|2|3|4|5|6|7|,0|1781|317|158|99|69|36|16|,nan|153.42301227956133|186.69612073838348|214.86438590612846|224.86535459670162|227.96713940983526|229.87425411186211|235.55788394720685|,nan|17.699897069614266|27.966051982376698|20.399248627738096|15.446070848208018|16.748418540539525|13.243722362213676|13.876358298511713|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|104|1445|231|393|198|78|27|,nan|120.76840652309417|149.14326875356497|170.29214843553603|201.2859427544689|224.27733806883649|239.7271926649448|251.59247217612787|,nan|3.426826099946299|8.002501366482882|7.309931561428006|8.051149564399399|6.03616122397661|2.9055747292739946|3.930419397813701|,0|198|6081|4487|337|305|93|85|,0|197|5676|3178|59|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|30|,0|0|0|0|3|8|12|7|,0|101|4911|5569|455|330|100|90|,0|0|0|0|0|0|0|0|,0|0|3495|5280|61|96|32|73|,0|101|1416|289|394|234|68|17|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
87,0|1|2|3|4|5|6|7|,0|1784|351|177|89|58|46|14|,nan|153.5441279260084|187.66937521687686|214.1111878201571|225.05279040498294|226.39416435817418|228.6139633227096|226.06280571700236|,nan|18.201431887257666|26.705519754955745|21.32381554448863|16.249547101859402|13.193883895362559|15.803468144849417|11.183688811100586|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|101|1416|289|394|234|68|17|,nan|120.1798378589527|148.651077452952|171.92362985525114|200.803184199387|224.40836515326976|239.72349665569192|252.4005010987239|,nan|4.305694187440041|8.322180767193876|7.6357779271694355|8.281416499814428|5.653314045702214|2.9583250804842898|5.0485610373946415|,0|211|6241|4291|399|308|117|62|,0|206|5791|3054|59|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|29|,0|0|0|0|5|10|9|5|,0|117|5183|5283|506|317|118|76|,0|0|0|0|0|0|0|0|,0|0|3846|5057|62|98|46|53|,0|117|1337|226|444|219|72|23|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
88,0|1|2|3|4|5|6|7|,0|1686|360|164|108|59|41|20|,nan|152.8521632311625|189.65628975965802|213.92613404480355|225.48021323026174|229.04305623716655|228.78391198239137|226.01913731096352|,nan|18.24094445347661|26.00601158394077|19.154235130945214|14.722907331995861|12.361072979999536|13.346458272365032|15.665547973628087|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|117|1337|226|444|219|72|23|,nan|119.2058853914994|148.8321192015831|171.03055268967915|200.67161492113857|224.26955113328856|239.55959773819708|251.51162423511474|,nan|5.096501952117957|8.025579379377593|7.411725085663726|7.947724504387027|5.698365747412403|2.7096776895862438|5.865126088514514|,0|186|6152|4332|386|316|102|74|,0|180|5746|3137|47|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|27|,0|0|0|0|1|14|7|5|,0|94|5068|5319|504|343|104|89|,0|0|0|0|0|0|0|0|,0|0|3762|5136|91|106|35|68|,0|94|1306|183|413|237|69|21|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
89,0|1|2|3|4|5|6|7|,0|1585|310|212|96|56|37|27|,nan|152.62417682498412|189.1700293858447|215.56847641890485|222.74584110768274|228.87642619043586|230.85561081042363|224.5247445662551|,nan|17.963467129819925|27.109123158693617|18.002670694637192|14.74539212133839|14.849715330065283|9.926392345668418|14.578057735420268|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|94|1306|183|413|237|69|21|,nan|119.40591240633533|148.6179892421467|171.7942361062306|201.8780569602417|224.31707488724263|239.0096853381553|250.9050099632249|,nan|4.394789531495022|8.351291963745457|7.44095377678375|8.1075291517908|5.458203875778843|2.7277953812160476|5.904896177363512|,0|171|5953|4431|336|361|115|66|,0|169|5564|3316|61|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|22|,0|0|0|0|4|11|6|1|,0|96|4888|5371|481|369|121|85|,0|0|0|0|0|0|0|0|,0|0|3310|5119|107|140|62|63|,0|96|1578|252|374|229|59|22|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
90,0|1|2|3|4|5|6|7|,0|1909|316|166|112|55|30|22|,nan|153.2602562138798|185.72828816997756|214.7192995944185|225.33135814533236|225.70325376860316|230.12975255033544|230.51768730353754|,nan|16.874924217443763|27.333255842338314|20.282386751413696|13.465481499702811|13.845512087102714|15.55798876098585|14.613994192711328|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|96|1578|252|374|229|59|22|,nan|120.2505469415001|149.36684402255622|170.36164847944886|201.1335199355893|224.7139374457955|239.60555565141993|251.69186219050397|,nan|4.105666509353858|7.933013832865051|7.460039455501253|8.080870627977314|5.866359296370154|2.6687224376334546|5.393924525755403|,0|272|6296|4353|318|309|112|60|,0|267|5788|2997|58|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|22|,0|0|0|0|2|6|9|5|,0|143|5201|5387|448|332|108|79|,0|0|0|0|0|0|0|0|,0|0|3991|5098|104|86|38|59|,0|143|1210|289|344|246|70|20|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
91,0|1|2|3|4|5|6|7|,0|1622|313|148|102|73|42|22|,nan|152.36110092305861|187.59625613158212|217.15252960000828|225.35996531580778|228.07319790408445|230.21402301055156|228.7384676648248|,nan|19.304043605123255|25.995293748741254|18.094896028856844|14.912802703489316|12.293025244641694|13.152937110609704|11.563146975912002|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|143|1210|289|344|246|70|20|,nan|119.20717295466012|148.49725448010656|170.05479234797184|201.42455541173004|224.84405451565112|239.92563743994964|252.62928380882008|,nan|4.406644370714117|8.471060210029068|7.520311966825853|8.151091789307777|5.999991236939546|2.7856429059196897|6.602126645066906|,0|200|6203|4200|338|307|118|66|,0|196|5744|3099|71|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|28|,0|0|0|0|0|17|7|4|,0|101|5006|5253|523|315|115|91|,0|0|0|0|0|0|0|0|,0|0|3616|4989|104|106|41|69|,0|101|1390|264|419|209|74|22|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
92,0|1|2|3|4|5|6|7|,0|1770|342|148|85|61|49|24|,nan|154.5756090168874|184.5125148666966|215.98317092356118|223.43420702752084|229.50787399784295|231.65531396332054|230.6473891611325|,nan|18.904328074767648|27.247174635895483|17.114741365131234|17.04473011090859|13.48196669326638|12.135008498270718|12.703464726259645|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|101|1390|264|419|209|74|22|,nan|119.89701566371728|149.06114338423157|171.23115893240882|199.75280679948082|225.06363447530535|240.23627502722383|251.10586934802342|,nan|5.140532334518005|7.974407861717666|7.359445795089803|7.780670905192165|5.489430006217238|2.8641566852866625|5.345886069178241|,0|215|6126|4367|401|298|106|76|,0|206|5729|3109|66|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|36|,0|0|0|0|2|21|7|6|,0|133|5153|5260|518|297|107|85|,0|0|0|0|0|0|0|0|,0|0|3785|5000|98|79|44|67|,0|133|1368|260|420|218|63|18|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
93,0|1|2|3|4|5|6|7|,0|1743|354|176|92|58|36|21|,nan|152.37205941398554|190.07959043493133|210.1822985813661|222.85570653868652|225.1202786932999|229.74323847307107|230.24548987278416|,nan|18.283493766325176|28.228378885319152|21.570852863191384|17.532851412775315|16.317028442660057|11.517124063261488|13.21115651778883|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|133|1368|260|420|218|63|18|,nan|119.6610942527577|148.3990922825857|170.99841755214734|201.44104718863923|224.22511969889297|240.33948811519548|251.0108974664277|,nan|4.641086290515983|8.182018747434945|7.591963385925438|7.908235997091417|5.758626880929305|2.759332364853706|3.8573796576691577|,0|218|6082|4449|349|328|99|65|,0|204|5635|3220|51|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|29|,0|0|0|0|3|18|4|4|,0|112|4879|5528|502|343|111|86|,0|0|0|0|0|0|0|0|,0|0|3339|5362|125|123|37|67|,0|112|1540|166|377|220|74|19|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
94,0|1|2|3|4|5|6|7|,0|1802|333|174|95|52|33|19|,nan|152.68319981992005|183.4763864356299|215.9529015229153|222.07361695573823|225.67247262439201|229.3910776702166|230.8957699672333|,nan|17.78748146000591|30.18357114867969|22.31914997773278|14.086622643241553|17.024369024423773|12.950025397117903|9.32672058651767|,60.0|110.0|140.0|180.0|200.0|230.0|240.0|250.0|,0|112|1540|166|377|220|74|19|,nan|119.64107708171096|148.97497281813892|171.98370285408717|200.230667819287|223.99399741017285|239.31606519569243|250.09850178165868|,nan|5.01535632147914|8.044193868993288|7.98553120994549|8.127333740475581|5.824884734842726|2.6556638161173756|4.954040864395969|,0|214|6353|4243|348|284|104|72|,0|207|5848|2990|64|1|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|26|,0|0|0|0|1|14|8|3|,0|124|5287|5253|426|317|103|82|,0|0|0|0|0|0|0|0|,0|0|4024|4919|57|82|35|57|,0|124|1263|334|369|235|68|25|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|
